Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2016
Aécio Neves;PSDB;MG;2016
Airton Sandoval;MDB;SP;2016
Aloysio Nunes Ferreira;PSDB;SP;2016
Alvaro Dias;PODE;PR;2016
Ana Amélia;PP;RS;2016
Ângela Portela;PDT;RR;2016
Antonio Anastasia;PSDB;MG;2016
Antônio Carlos Valadares;PSB;SE;2016
Armando Monteiro;PTB;PE;2016
Ataídes Oliveira;PSDB;TO;2016
Benedito de Lira;PP;AL;2016
Blairo Maggi;PR;MT;2016
Cássio Cunha Lima;PSDB;PB;2016
Cidinho Santos;PR;MT;2016
Ciro Nogueira;PP;PI;2016
Cristovam Buarque;CIDADANIA;DF;2016
Dalirio Beber;PSDB;SC;2016
Dário Berger;MDB;SC;2016
Davi Alcolumbre;DEM;AP;2016
Deca;PSDB;PB;2016
Delcidio do Amaral;S/Partido;MS;2016
Demóstenes Torres;S/Partido;GO;2016
Donizeti Nogueira;PT;TO;2016
Douglas Cintra;PTB;PE;2016
Edison Lobão;MDB;MA;2016
Eduardo Amorim;PSDB;SE;2016
Eduardo Braga;MDB;AM;2016
Eduardo Lopes;PRB;RJ;2016
Elber Batalha;PSB;SE;2016
Elmano Férrer;PODE;PI;2016
Eunício Oliveira;MDB;CE;2016
Fátima Bezerra;PT;RN;2016
Fernando Bezerra Coelho;MDB;PE;2016
Fernando Collor;PTC;AL;2016
Fernando Ribeiro;MDB;PA;2016
Flexa Ribeiro;PSDB;PA;2016
Garibaldi Alves Filho;MDB;RN;2016
Gilberto Piselo;PDT;RO;2016
Gilvam Borges;MDB;AP;2016
Givago Tenório;PP;AL;2016
Gladson Cameli;PP;AC;2016
Gleisi Hoffmann;PT;PR;2016
Guaracy Silveira;PSL;TO;2016
Hélio José;PROS;DF;2016
Humberto Costa;PT;PE;2016
Ione Guimarães;PTB;GO;2016
Itamar Franco;CIDADANIA;MG;2016
Ivo Cassol;PP;RO;2016
Jader Barbalho;MDB;PA;2016
Jean Paul Prates;PT;RN;2016
João Alberto Souza;MDB;MA;2016
João Capiberibe;PSB;AP;2016
João Ribeiro;PR;TO;2016
Jorge Viana;PT;AC;2016
José Agripino;DEM;RN;2016
José Amauri;PODE;PI;2016
José Aníbal;PSDB;SP;2016
José Maranhão;MDB;PB;2016
José Medeiros;PODE;MT;2016
José Pimentel;PT;CE;2016
José Serra;PSDB;SP;2016
Kátia Abreu;PDT;TO;2016
Lasier Martins;PSD;RS;2016
Lídice da Mata;PSB;BA;2016
Lindbergh Farias;PT;RJ;2016
Lúcia Vânia;PSB;GO;2016
Luiz do Carmo;MDB;GO;2016
Luiz Henrique;MDB;SC;2016
Magno Malta;PR;ES;2016
Mailza Gomes;PP;AC;2016
Marcelo Crivella;PRB;RJ;2016
Maria do Carmo Alves;DEM;SE;2016
Marinor Brito;PSOL;PA;2016
Marta Suplicy;MDB;SP;2016
Omar Aziz;PSD;AM;2016
Otto Alencar;PSD;BA;2016
Pastor Bel;PRTB;MA;2016
Pastor Valadares;PDT;RO;2016
Paulo Bauer;PSDB;SC;2016
Paulo Paim;PT;RS;2016
Paulo Rocha;PT;PA;2016
Pedro Chaves;PRB;MS;2016
Pedro Taques;PDT;MT;2016
Pinto Itamaraty;PSDB;MA;2016
Raimundo Lira;PSD;PB;2016
Randolfe Rodrigues;REDE;AP;2016
Reditario Cassol;PP;RO;2016
Regina Sousa;PT;PI;2016
Reguffe;S/Partido;DF;2016
Renan Calheiros;MDB;AL;2016
Ricardo Ferraço;PSDB;ES;2016
Ricardo Franco;DEM;SE;2016
Roberto Muniz;PP;BA;2016
Roberto Requião;MDB;PR;2016
Roberto Rocha;PSDB;MA;2016
Rodrigo Rollemberg;PSB;DF;2016
Rodrigues Palma;PR;MT;2016
Romário;PODE;RJ;2016
Romero Jucá;MDB;RR;2016
Ronaldo Caiado;DEM;GO;2016
Rose de Freitas;PODE;ES;2016
Rudson Leite;PV;RR;2016
Sandra Braga;MDB;AM;2016
Sérgio de Castro;PDT;ES;2016
Sérgio Petecão;PSD;AC;2016
Simone Tebet;MDB;MS;2016
Tasso Jereissati;PSDB;CE;2016
Telmário Mota;PTB;RR;2016
Thieres Pinto;PTB;RR;2016
Valdir Raupp;MDB;RO;2016
Vanessa Grazziotin;PCdoB;AM;2016
Vicentinho Alves;PR;TO;2016
Virginio de Carvalho;PSC;SE;2016
Vital do Rêgo;MDB;PB;2016
Waldemir Moka;MDB;MS;2016
Walter Pinheiro;S/Partido;BA;2016
Wellington Dias;PT;PI;2016
Wellington Fagundes;PR;MT;2016
Wilder Morais;DEM;GO;2016
Wilson Santiago;MDB;PB;2016
Wirlande da Luz;MDB;RR;2016
Zé Santana;MDB;PI;2016
Zezé Perrella;MDB;MG;2016
