Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2011
Adelmir Santana;DEM;DF;2011
Aécio Neves;PSDB;MG;2011
Alfredo Cotait;DEM;SP;2011
Alfredo Nascimento;PR;AM;2011
Almeida Lima;MDB;SE;2011
Aloysio Nunes Ferreira;PSDB;SP;2011
Alvaro Dias;PSDB;PR;2011
Ana Amélia;PP;RS;2011
Ana Rita;PT;ES;2011
Ângela Portela;PT;RR;2011
Aníbal Diniz;PT;AC;2011
Antonio Aureliano;PSDB;MG;2011
Antonio Carlos Junior;DEM;BA;2011
Antonio Carlos Rodrigues;PR;SP;2011
Antônio Carlos Valadares;PSB;SE;2011
Antonio Russo;PR;MS;2011
Armando Monteiro;PTB;PE;2011
Assis Gurgacz;PDT;RO;2011
Ataídes Oliveira;PSDB;TO;2011
Augusto Botelho;S/Partido;RR;2011
Benedito de Lira;PP;AL;2011
Blairo Maggi;PR;MT;2011
Casildo Maldaner;MDB;SC;2011
Cássio Cunha Lima;PSDB;PB;2011
Cícero Lucena;PSDB;PB;2011
Cidinho Santos;PR;MT;2011
Ciro Nogueira;PP;PI;2011
Clésio Andrade;MDB;MG;2011
Clóvis Fecury;DEM;MA;2011
Cristovam Buarque;PDT;DF;2011
Cyro Miranda;PSDB;GO;2011
Danimar Cristina;PR;PR;2011
Delcidio do Amaral;PT;MS;2011
Demóstenes Torres;S/Partido;GO;2011
Douglas Cintra;PTB;PE;2011
Edison Lobão;MDB;MA;2011
Eduardo Amorim;PSC;SE;2011
Eduardo Azeredo;PSDB;MG;2011
Eduardo Braga;MDB;AM;2011
Eduardo Lopes;PRB;RJ;2011
Eduardo Suplicy;PT;SP;2011
Efraim Morais;DEM;PB;2011
Eliseu Resende;DEM;MG;2011
Epitácio Cafeteira;PTB;MA;2011
Eunício Oliveira;MDB;CE;2011
Expedito Júnior;PSDB;RO;2011
Fernando Collor;PTB;AL;2011
Fernando Ribeiro;MDB;PA;2011
Fleury;DEM;GO;2011
Flexa Ribeiro;PSDB;PA;2011
Francisco Dornelles;PP;RJ;2011
Garibaldi Alves;MDB;RN;2011
Garibaldi Alves Filho;MDB;RN;2011
Geovani Borges;MDB;AP;2011
Geraldo Mesquita Júnior;MDB;AC;2011
Gerson Camata;MDB;ES;2011
Gilberto Goellner;DEM;MT;2011
Gilvam Borges;MDB;AP;2011
Gim Argello;PDT;DF;2011
Gleisi Hoffmann;PT;PR;2011
Hélio Costa;MDB;MG;2011
Hélio José;PSD;DF;2011
Heráclito Fortes;DEM;PI;2011
Humberto Costa;PT;PE;2011
Inácio Arruda;PCdoB;CE;2011
Itamar Franco;CIDADANIA;MG;2011
Ivo Cassol;PP;RO;2011
Ivonete Dantas;MDB;RN;2011
Jader Barbalho;MDB;PA;2011
Jarbas Vasconcelos;MDB;PE;2011
Jayme Campos;DEM;MT;2011
Jefferson Praia;PDT;AM;2011
João Alberto Souza;MDB;MA;2011
João Capiberibe;PSB;AP;2011
João Costa;PPL;TO;2011
João Durval;PDT;BA;2011
João Faustino;PSDB;RN;2011
João Pedro;PT;AM;2011
João Ribeiro;PR;TO;2011
João Tenório;PSDB;AL;2011
João Vicente Claudino;PTB;PI;2011
Joaquim Roriz;MDB;DF;2011
Jorge Afonso Argello;PTB;DF;2011
Jorge Viana;PT;AC;2011
