Nome;Partido;UF;Período
José Agripino;DEM;RN;2011
José Medeiros;CIDADANIA;MT;2011
José Nery;PSOL;PA;2011
José Pimentel;PT;CE;2011
José Sarney;MDB;AP;2011
Kaká Andrade;PDT;SE;2011
Kátia Abreu;MDB;TO;2011
Lauro Antônio;PR;SE;2011
Lídice da Mata;PSB;BA;2011
Lindbergh Farias;PT;RJ;2011
Lobão Filho;MDB;MA;2011
Lúcia Vânia;PSDB;GO;2011
Luiz Carlos;PT;SC;2011
Luiz Henrique;MDB;SC;2011
Magno Malta;PR;ES;2011
Mão Santa;PSC;PI;2011
Marcelo Crivella;PRB;RJ;2011
Marco Antonio;PSL;TO;2011
Marconi Perillo;PSDB;GO;2011
Maria do Carmo Alves;DEM;SE;2011
Marina Silva;PV;AC;2011
Marinor Brito;PSOL;PA;2011
Mário Couto;PSDB;PA;2011
Marisa Serrano;PSDB;MS;2011
Marta Suplicy;PT;SP;2011
Mozarildo Cavalcanti;PTB;RR;2011
Neuto de Conto;MDB;SC;2011
Osmar Dias;PDT;PR;2011
Odacir Soares;PP;RO;2011
Osvaldo Sobrinho;PTB;MT;2011
Papaléo Paes;PSDB;AP;2011
Patrícia Saboya Gomes;PDT;CE;2011
Paulo Bauer;PSDB;SC;2011
Paulo Davim;PV;RN;2011
Paulo Paim;PT;RS;2011
Pedro Simon;MDB;RS;2011
Pedro Taques;PDT;MT;2011
Pericles Olivier;PP;RJ;2011
Raimundo Colombo;DEM;SC;2011
Raimundo Lira;MDB;PB;2011
Randolfe Rodrigues;PSOL;AP;2011
Reditario Cassol;PP;RO;2011
Regina Sousa;PT;PI;2011
Renan Calheiros;MDB;AL;2011
Renato Casagrande;PSB;ES;2011
Ricardo Ferraço;MDB;ES;2011
Roberto Requião;MDB;PR;2011
Rodrigo Rollemberg;PSB;DF;2011
Roberto Cavalcanti;PRB;PB;2011
Romero Jucá;MDB;RR;2011
Rosalba Ciarlini;DEM;RN;2011
Ruben Figueiró;PSDB;MS;2011
Sandra Braga;MDB;AM;2011
Sérgio Petecão;PSD;AC;2011
Sérgio Souza;MDB;PR;2011
Sérgio Zambiasi;PTB;RS;2011
Serys Slhessarenko;PT;MT;2011
Sodré Santoro;PTB;RR;2011
Tião Viana;PT;AC;2011
Tomás Correia;MDB;RO;2011
Valdir Raupp;MDB;RO;2011
Valter Pereira;MDB;MS;2011
Vanessa Grazziotin;PCdoB;AM;2011
Vicentinho Alves;PR;TO;2011
Vital do Rêgo;MDB;PB;2011
Waldemir Moka;MDB;MS;2011
Walter Pinheiro;PT;BA;2011
Wellington Dias;PT;PI;2011
Wilder Morais;DEM;GO;2011
Wilson Matos;PSDB;PR;2011
Wilson Santiago;MDB;PB;2011
Zezé Perrella;PDT;MG;2011
