Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2010
Ada Mello;PTB;AL;2010
Adelmir Santana;DEM;DF;2010
Alfredo Cotait;DEM;SP;2010
Alfredo Nascimento;PR;AM;2010
Almeida Lima;MDB;SE;2010
Aloizio Mercadante;PT;SP;2010
Alvaro Dias;PSDB;PR;2010
Ana Júlia Carepa;PT;PA;2010
Ana Rita;PT;ES;2010
Anibal Diniz;PT;AC;2010
Antonio Carlos Junior;DEM;BA;2010
Antonio Carlos Magalhães;PFL;BA;2010
Antônio Carlos Valadares;PSB;SE;2010
Arthur Virgílio;PSDB;AM;2010
Augusto Botelho;S/Partido;RR;2010
Belini Meurer;PT;SC;2010
Carlos Dunga;PTB;PB;2010
Casildo Maldaner;MDB;SC;2010
César Borges;PR;BA;2010
Cícero Lucena;PSDB;PB;2010
Clésio Andrade;PR;MG;2010
Cristovam Buarque;PDT;DF;2010
Cyro Miranda;PSDB;GO;2010
Danimar Cristina;PR;PR;2010
Delcidio do Amaral;PT;MS;2010
Demóstenes Torres;DEM;GO;2010
Duciomar Costa;PTB;PA;2010
Edison Lobão;MDB;MA;2010
Eduardo Azeredo;PSDB;MG;2010
Eduardo Suplicy;PT;SP;2010
Efraim Morais;DEM;PB;2010
Eliseu Resende;DEM;MG;2010
Epitácio Cafeteira;PTB;MA;2010
Euclydes Mello;PRB;AL;2010
Expedito Júnior;PSDB;RO;2010
Fátima Cleide;PT;RO;2010
Fernando Collor;PTB;AL;2010
Flávio Arns;PSDB;PR;2010
Flávio Torres;PDT;CE;2010
Flexa Ribeiro;PSDB;PA;2010
Francisco Dornelles;PP;RJ;2010
Garibaldi Alves;MDB;RN;2010
Garibaldi Alves Filho;MDB;RN;2010
Geovani Borges;MDB;AP;2010
Geraldo Mesquita Júnior;MDB;AC;2010
Gerson Camata;MDB;ES;2010
Gilberto Goellner;DEM;MT;2010
Gilvam Borges;MDB;AP;2010
Gim Argello;PDT;DF;2010
Hélio Costa;MDB;MG;2010
Heráclito Fortes;DEM;PI;2010
Ideli Salvatti;PT;SC;2010
Inácio Arruda;PCdoB;CE;2010
Jarbas Vasconcelos;MDB;PE;2010
Jayme Campos;DEM;MT;2010
Jefferson Peres;PDT;AM;2010
Jefferson Praia;PDT;AM;2010
João Capiberibe;PSB;AP;2010
João Durval;PDT;BA;2010
João Faustino;PSDB;RN;2010
João Pedro;PT;AM;2010
João Ribeiro;PR;TO;2010
João Tenório;PSDB;AL;2010
João Vicente Claudino;PTB;PI;2010
Joaquim Roriz;MDB;DF;2010
Jonas Pinheiro;DEM;MT;2010
Jorge Afonso Argello;PTB;DF;2010
Jorge Yanai;DEM;MT;2010
José Agripino;DEM;RN;2010
José Bezerra;DEM;RN;2010
José Maranhão;MDB;PB;2010
José Nery;PSOL;PA;2010
José Sarney;MDB;AP;2010
Kátia Abreu;DEM;TO;2010
Leomar Quintanilha;MDB;TO;2010
Leonel Pavan;PSDB;SC;2010
Lobão Filho;MDB;MA;2010
Lúcia Vânia;PSDB;GO;2010
Luiz Carlos;PT;SC;2010
Magno Malta;PR;ES;2010
Mão Santa;PSC;PI;2010
Marcelo Crivella;PRB;RJ;2010
Marco Antonio;DEM;TO;2010
Marco Maciel;DEM;PE;2010
Marconi Perillo;PSDB;GO;2010
Maria do Carmo Alves;DEM;SE;2010
Marina Silva;PV;AC;2010
Mário Couto;PSDB;PA;2010
Marisa Serrano;PSDB;MS;2010
Mauro Fecury;MDB;MA;2010
Mozarildo Cavalcanti;PTB;RR;2010
Neuto de Conto;MDB;SC;2010
Níura Demarchi;PSDB;SC;2010
Osmar Dias;PDT;PR;2010
Osvaldo Sobrinho;PTB;MT;2010
Papaléo Paes;PSDB;AP;2010
Patrícia Saboya Gomes;PDT;CE;2010
Paulo Duque;MDB;RJ;2010
Paulo Octávio;PFL;DF;2010
Paulo Paim;PT;RS;2010
Pedro Simon;MDB;RS;2010
Raimundo Colombo;DEM;SC;2010
Ramez Tebet;MDB;MS;2010
Regis Fichtner;MDB;RJ;2010
Remi Ribeiro;MDB;MA;2010
Renan Calheiros;MDB;AL;2010
Renato Casagrande;PSB;ES;2010
Roberto Cavalcanti;PRB;PB;2010
Romero Jucá;MDB;RR;2010
Romeu Tuma;PTB;SP;2010
Rosalba Ciarlini;DEM;RN;2010
Roseana Sarney;MDB;MA;2010
Sadi Cassol;PT;TO;2010
Selma Elias;MDB;SC;2010
Sérgio Cabral;MDB;RJ;2010
Sérgio Guerra;PSDB;PE;2010
Sérgio Zambiasi;PTB;RS;2010
Serys Slhessarenko;PT;MT;2010
Sibá Machado;PT;AC;2010
Tasso Jereissati;PSDB;CE;2010
Teotonio Vilela Filho;PSDB;AL;2010
Tião Viana;PT;AC;2010
Valdir Raupp;MDB;RO;2010
Valter Pereira;MDB;MS;2010
Virginio de Carvalho;PSC;SE;2010
Wellington Salgado de Oliveira;MDB;MG;2010
Wilson Matos;PSDB;PR;2010
