Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2014
Aécio Neves;PSDB;MG;2014
Alfredo Nascimento;PR;AM;2014
Aloysio Nunes Ferreira;PSDB;SP;2014
Alvaro Dias;PSDB;PR;2014
Ana Amélia;PP;RS;2014
Ana Rita;PT;ES;2014
Ângela Portela;PT;RR;2014
Aníbal Diniz;PT;AC;2014
Antonio Aureliano;PSDB;MG;2014
Antonio Carlos Rodrigues;PR;SP;2014
Antônio Carlos Valadares;PSB;SE;2014
Antonio Russo;PR;MS;2014
Armando Monteiro;PTB;PE;2014
Assis Gurgacz;PDT;RO;2014
Ataídes Oliveira;PSDB;TO;2014
Benedito de Lira;PP;AL;2014
Blairo Maggi;PR;MT;2014
Casildo Maldaner;MDB;SC;2014
Cássio Cunha Lima;PSDB;PB;2014
Cícero Lucena;PSDB;PB;2014
Cidinho Santos;PR;MT;2014
Ciro Nogueira;PP;PI;2014
Clésio Andrade;MDB;MG;2014
Clóvis Fecury;DEM;MA;2014
Cristovam Buarque;PDT;DF;2014
Cyro Miranda;PSDB;GO;2014
Delcidio do Amaral;PT;MS;2014
Demóstenes Torres;S/Partido;GO;2014
Douglas Cintra;PTB;PE;2014
Edison Lobão;MDB;MA;2014
Eduardo Amorim;PSC;SE;2014
Eduardo Braga;MDB;AM;2014
Eduardo Lopes;PRB;RJ;2014
Eduardo Suplicy;PT;SP;2014
Eliseu Resende;DEM;MG;2014
Epitácio Cafeteira;PTB;MA;2014
Eunício Oliveira;MDB;CE;2014
Expedito Júnior;PSDB;RO;2014
Fernando Collor;PTB;AL;2014
Fernando Ribeiro;MDB;PA;2014
Fleury;DEM;GO;2014
Flexa Ribeiro;PSDB;PA;2014
Francisco Dornelles;PP;RJ;2014
Garibaldi Alves;MDB;RN;2014
Garibaldi Alves Filho;MDB;RN;2014
Geovani Borges;MDB;AP;2014
Gilvam Borges;MDB;AP;2014
Gleisi Hoffmann;PT;PR;2014
Gim Argello;PDT;DF;2014
Hélio José;PSD;DF;2014
Humberto Costa;PT;PE;2014
Inácio Arruda;PCdoB;CE;2014
Itamar Franco;CIDADANIA;MG;2014
Ivo Cassol;PP;RO;2014
Ivonete Dantas;MDB;RN;2014
Jader Barbalho;MDB;PA;2014
Jarbas Vasconcelos;MDB;PE;2014
Jayme Campos;DEM;MT;2014
João Alberto Souza;MDB;MA;2014
João Capiberibe;PSB;AP;2014
João Costa;PPL;TO;2014
João Durval;PDT;BA;2014
João Pedro;PT;AM;2014
João Ribeiro;PR;TO;2014
João Vicente Claudino;PTB;PI;2014
Joaquim Roriz;MDB;DF;2014
Jorge Afonso Argello;PTB;DF;2014
Jorge Viana;PT;AC;2014
José Agripino;DEM;RN;2014
José Medeiros;CIDADANIA;MT;2014
José Pimentel;PT;CE;2014
José Sarney;MDB;AP;2014
Kaká Andrade;PDT;SE;2014
Kátia Abreu;MDB;TO;2014
Lauro Antônio;PR;SE;2014
Lídice da Mata;PSB;BA;2014
Lindbergh Farias;PT;RJ;2014
Lobão Filho;MDB;MA;2014
Lúcia Vânia;PSDB;GO;2014
Luiz Henrique;MDB;SC;2014
Magno Malta;PR;ES;2014
Marcelo Crivella;PRB;RJ;2014
Marco Antônio Costa;PSL;TO;2014
Marconi Perillo;PSDB;GO;2014
Maria do Carmo Alves;DEM;SE;2014
Marinor Brito;PSOL;PA;2014
Mário Couto;PSDB;PA;2014
Marisa Serrano;PSDB;MS;2014
Marta Suplicy;PT;SP;2014
Mozarildo Cavalcanti;PTB;RR;2014
Odacir Soares;PP;RO;2014
Osvaldo Sobrinho;PTB;MT;2014
Paulo Bauer;PSDB;SC;2014
Paulo Davim;PV;RN;2014
Paulo Paim;PT;RS;2014
Pedro Simon;MDB;RS;2014
Pedro Taques;PDT;MT;2014
Pericles Olivier;PP;RJ;2014
Raimundo Colombo;DEM;SC;2014
Raimundo Lira;MDB;PB;2014
Randolfe Rodrigues;PSOL;AP;2014
Reditario Cassol;PP;RO;2014
Regina Sousa;PT;PI;2014
Renan Calheiros;MDB;AL;2014
Renato Casagrande;PSB;ES;2014
Ricardo Ferraço;MDB;ES;2014
Roberto Requião;MDB;PR;2014
Rodrigo Rollemberg;PSB;DF;2014
Romero Jucá;MDB;RR;2014
Rosalba Ciarlini;DEM;RN;2014
Ruben Figueiró;PSDB;MS;2014
Sandra Braga;MDB;AM;2014
Sérgio Petecão;PSD;AC;2014
Sérgio Souza;MDB;PR;2014
Sodré Santoro;PTB;RR;2014
Tião Viana;PT;AC;2014
Tomás Correia;MDB;RO;2014
Valdir Raupp;MDB;RO;2014
Vanessa Grazziotin;PCdoB;AM;2014
Vicentinho Alves;PR;TO;2014
Vital do Rêgo;MDB;PB;2014
Waldemir Moka;MDB;MS;2014
Walter Pinheiro;PT;BA;2014
Wellington Dias;PT;PI;2014
Wilder Morais;DEM;GO;2014
Wilson Matos;PSDB;PR;2014
Wilson Santiago;MDB;PB;2014
Zezé Perrella;PDT;MG;2014
