Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2017
Aécio Neves;PSDB;MG;2017
Airton Sandoval;MDB;SP;2017
Aloysio Nunes Ferreira;PSDB;SP;2017
Alvaro Dias;PODE;PR;2017
Ana Amélia;PP;RS;2017
Ângela Portela;PDT;RR;2017
Antonio Anastasia;PSDB;MG;2017
Antônio Carlos Valadares;PSB;SE;2017
Armando Monteiro;PTB;PE;2017
Ataídes Oliveira;PSDB;TO;2017
Benedito de Lira;PP;AL;2017
Blairo Maggi;PR;MT;2017
Cássio Cunha Lima;PSDB;PB;2017
Cidinho Santos;PR;MT;2017
Ciro Nogueira;PP;PI;2017
Cristovam Buarque;CIDADANIA;DF;2017
Dalirio Beber;PSDB;SC;2017
Dário Berger;MDB;SC;2017
Davi Alcolumbre;DEM;AP;2017
Deca;PSDB;PB;2017
Delcídio do Amaral;S/Partido;MS;2017
Demóstenes Torres;S/Partido;GO;2017
Donizeti Nogueira;PT;TO;2017
Douglas Cintra;PTB;PE;2017
Edison Lobão;MDB;MA;2017
Eduardo Amorim;PSDB;SE;2017
Eduardo Braga;MDB;AM;2017
Eduardo Lopes;PRB;RJ;2017
Elber Batalha;PSB;SE;2017
Elmano Férrer;PODE;PI;2017
Eunício Oliveira;MDB;CE;2017
Fátima Bezerra;PT;RN;2017
Fernando Bezerra Coelho;MDB;PE;2017
Fernando Collor;PTC;AL;2017
Fernando Ribeiro;MDB;PA;2017
Flexa Ribeiro;PSDB;PA;2017
Garibaldi Alves Filho;MDB;RN;2017
Gilberto Piselo;PDT;RO;2017
Gilvam Borges;MDB;AP;2017
Givago Tenório;PP;AL;2017
Gladson Cameli;PP;AC;2017
Gleisi Hoffmann;PT;PR;2017
Guaracy Silveira;PSL;TO;2017
Hélio José;PROS;DF;2017
Humberto Costa;PT;PE;2017
Ione Guimarães;PTB;GO;2017
Itamar Franco;CIDADANIA;MG;2017
Ivo Cassol;PP;RO;2017
Jader Barbalho;MDB;PA;2017
Jean Paul Prates;PT;RN;2017
João Alberto Souza;MDB;MA;2017
João Capiberibe;PSB;AP;2017
João Ribeiro;PR;TO;2017
Jorge Viana;PT;AC;2017
José Agripino;DEM;RN;2017
José Amauri;PODE;PI;2017
José Aníbal;PSDB;SP;2017
José Maranhão;MDB;PB;2017
José Medeiros;PODE;MT;2017
José Pimentel;PT;CE;2017
José Serra;PSDB;SP;2017
Kátia Abreu;PDT;TO;2017
Lasier Martins;PSD;RS;2017
Lídice da Mata;PSB;BA;2017
Lindbergh Farias;PT;RJ;2017
Lúcia Vânia;PSB;GO;2017
Luiz do Carmo;MDB;GO;2017
Luiz Henrique;MDB;SC;2017
Magno Malta;PR;ES;2017
Mailza Gomes;PP;AC;2017
Marcelo Crivella;PRB;RJ;2017
Maria do Carmo Alves;DEM;SE;2017
Marinor Brito;PSOL;PA;2017
Marta Suplicy;MDB;SP;2017
Omar Aziz;PSD;AM;2017
Otto Alencar;PSD;BA;2017
Pastor Bel;PRTB;MA;2017
Pastor Valadares;PDT;RO;2017
Paulo Bauer;PSDB;SC;2017
Paulo Paim;PT;RS;2017
Paulo Rocha;PT;PA;2017
Pedro Chaves;PRB;MS;2017
Pedro Taques;PDT;MT;2017
Pinto Itamaraty;PSDB;MA;2017
Raimundo Lira;PSD;PB;2017
Randolfe Rodrigues;REDE;AP;2017
Reditario Cassol;PP;RO;2017
Regina Sousa;PT;PI;2017
Reguffe;S/Partido;DF;2017
Renan Calheiros;MDB;AL;2017
Ricardo Ferraço;PSDB;ES;2017
Ricardo Franco;DEM;SE;2017
Roberto Muniz;PP;BA;2017
Roberto Requião;MDB;PR;2017
Roberto Rocha;PSDB;MA;2017
Rodrigo Rollemberg;PSB;DF;2017
Rodrigues Palma;PR;MT;2017
Romário;PODE;RJ;2017
Romero Jucá;MDB;RR;2017
Ronaldo Caiado;DEM;GO;2017
Rose de Freitas;PODE;ES;2017
Rudson Leite;PV;RR;2017
Sandra Braga;MDB;AM;2017
Sérgio de Castro;PDT;ES;2017
Sérgio Petecão;PSD;AC;2017
Simone Tebet;MDB;MS;2017
Tasso Jereissati;PSDB;CE;2017
Telmário Mota;PTB;RR;2017
Thieres Pinto;PTB;RR;2017
Valdir Raupp;MDB;RO;2017
Vanessa Grazziotin;PCdoB;AM;2017
Vicentinho Alves;PR;TO;2017
Virginio de Carvalho;PSC;SE;2017
Vital do Rêgo;MDB;PB;2017
Waldemir Moka;MDB;MS;2017
Walter Pinheiro;S/Partido;BA;2017
Wellington Dias;PT;PI;2017
Wellington Fagundes;PR;MT;2017
Wilder Morais;DEM;GO;2017
Wilson Santiago;MDB;PB;2017
Wirlande da Luz;MDB;RR;2017
Zé Santana;MDB;PI;2017
Zezé Perrella;MDB;MG;2017
