Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2015
Aécio Neves;PSDB;MG;2015
Alfredo Nascimento;PR;AM;2015
Airton Sandoval;MDB;SP;2015
Aloysio Nunes Ferreira;PSDB;SP;2015
Alvaro Dias;PODE;PR;2015
Ana Amélia;PP;RS;2015
Ana Rita;PT;ES;2015
Ângela Portela;PDT;RR;2015
Aníbal Diniz;PT;AC;2015
Antonio Anastasia;PSDB;MG;2015
Antônio Carlos Valadares;PSB;SE;2015
Armando Monteiro;PTB;PE;2015
Ataídes Oliveira;PSDB;TO;2015
Benedito de Lira;PP;AL;2015
Blairo Maggi;PR;MT;2015
Casildo Maldaner;MDB;SC;2015
Cássio Cunha Lima;PSDB;PB;2015
Cícero Lucena;PSDB;PB;2015
Cidinho Santos;PR;MT;2015
Ciro Nogueira;PP;PI;2015
Cristovam Buarque;CIDADANIA;DF;2015
Cyro Miranda;PSDB;GO;2015
Dalirio Beber;PSDB;SC;2015
Dário Berger;MDB;SC;2015
Davi Alcolumbre;DEM;AP;2015
Deca;PSDB;PB;2015
Delcidio do Amaral;S/Partido;MS;2015
Demóstenes Torres;S/Partido;GO;2015
Donizeti Nogueira;PT;TO;2015
Douglas Cintra;PTB;PE;2015
Edison Lobão;MDB;MA;2015
Eduardo Amorim;PSDB;SE;2015
Eduardo Braga;MDB;AM;2015
Eduardo Lopes;PRB;RJ;2015
Eduardo Suplicy;PT;SP;2015
Elber Batalha;PSB;SE;2015
Elmano Férrer;PODE;PI;2015
Epitácio Cafeteira;PTB;MA;2015
Eunício Oliveira;MDB;CE;2015
Fátima Bezerra;PT;RN;2015
Fernando Bezerra Coelho;MDB;PE;2015
Fernando Collor;PTC;AL;2015
Fernando Ribeiro;MDB;PA;2015
Flexa Ribeiro;PSDB;PA;2015
Garibaldi Alves Filho;MDB;RN;2015
Gilberto Piselo;PDT;RO;2015
Gilvam Borges;MDB;AP;2015
Givago Tenório;PP;AL;2015
Gladson Cameli;PP;AC;2015
Gleisi Hoffmann;PT;PR;2015
Guaracy Silveira;PSL;TO;2015
Hélio José;PROS;DF;2015
Humberto Costa;PT;PE;2015
Inácio Arruda;PCdoB;CE;2015
Ione Guimarães;PTB;GO;2015
Itamar Franco;CIDADANIA;MG;2015
Ivo Cassol;PP;RO;2015
Ivonete Dantas;MDB;RN;2015
Jader Barbalho;MDB;PA;2015
Jarbas Vasconcelos;MDB;PE;2015
Jayme Campos;DEM;MT;2015
Jean Paul Prates;PT;RN;2015
João Alberto Souza;MDB;MA;2015
João Capiberibe;PSB;AP;2015
João Durval;PDT;BA;2015
João Ribeiro;PR;TO;2015
João Vicente Claudino;PTB;PI;2015
Jorge Viana;PT;AC;2015
José Agripino;DEM;RN;2015
José Amauri;PODE;PI;2015
José Aníbal;PSDB;SP;2015
José Maranhão;MDB;PB;2015
José Medeiros;PODE;MT;2015
José Pimentel;PT;CE;2015
José Serra;PSDB;SP;2015
Kátia Abreu;PDT;TO;2015
Lasier Martins;PSD;RS;2015
Lídice da Mata;PSB;BA;2015
Lindbergh Farias;PT;RJ;2015
Lúcia Vânia;PSB;GO;2015
Luiz do Carmo;MDB;GO;2015
Luiz Henrique;MDB;SC;2015
Magno Malta;PR;ES;2015
Mailza Gomes;PP;AC;2015
Marcelo Crivella;PRB;RJ;2015
Marco Antônio Costa;PSL;TO;2015
Maria do Carmo Alves;DEM;SE;2015
Marinor Brito;PSOL;PA;2015
Mário Couto;PSDB;PA;2015
Marta Suplicy;MDB;SP;2015
Omar Aziz;PSD;AM;2015
Otto Alencar;PSD;BA;2015
Pastor Bel;PRTB;MA;2015
Pastor Valadares;PDT;RO;2015
Paulo Bauer;PSDB;SC;2015
Paulo Paim;PT;RS;2015
Paulo Rocha;PT;PA;2015
Pedro Chaves;PRB;MS;2015
Pedro Simon;MDB;RS;2015
Pedro Taques;PDT;MT;2015
Pinto Itamaraty;PSDB;MA;2015
Raimundo Lira;PSD;PB;2015
Randolfe Rodrigues;REDE;AP;2015
Reditario Cassol;PP;RO;2015
Regina Sousa;PT;PI;2015
Reguffe;S/Partido;DF;2015
Renan Calheiros;MDB;AL;2015
Ricardo Ferraço;PSDB;ES;2015
Ricardo Franco;DEM;SE;2015
Roberto Muniz;PP;BA;2015
Roberto Requião;MDB;PR;2015
Roberto Rocha;PSDB;MA;2015
Rodrigo Rollemberg;PSB;DF;2015
Rodrigues Palma;PR;MT;2015
Romário;PODE;RJ;2015
Romero Jucá;MDB;RR;2015
Ronaldo Caiado;DEM;GO;2015
Rose de Freitas;PODE;ES;2015
Ruben Figueiró;PSDB;MS;2015
Rudson Leite;PV;RR;2015
Sandra Braga;MDB;AM;2015
Sérgio de Castro;PDT;ES;2015
Sérgio Petecão;PSD;AC;2015
Simone Tebet;MDB;MS;2015
Sodré Santoro;PTB;RR;2015
Tasso Jereissati;PSDB;CE;2015
Telmário Mota;PTB;RR;2015
Thieres Pinto;PTB;RR;2015
Valdir Raupp;MDB;RO;2015
Vanessa Grazziotin;PCdoB;AM;2015
Vicentinho Alves;PR;TO;2015
Virginio de Carvalho;PSC;SE;2015
Vital do Rêgo;MDB;PB;2015
Waldemir Moka;MDB;MS;2015
Walter Pinheiro;S/Partido;BA;2015
Wellington Dias;PT;PI;2015
Wellington Fagundes;PR;MT;2015
Wilder Morais;DEM;GO;2015
Wilson Santiago;MDB;PB;2015
Wirlande da Luz;MDB;RR;2015
Zé Santana;MDB;PI;2015
Zezé Perrella;MDB;MG;2015
