Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2018
Aécio Neves;PSDB;MG;2018
Airton Sandoval;MDB;SP;2018
Aloysio Nunes Ferreira;PSDB;SP;2018
Alvaro Dias;PODE;PR;2018
Ana Amélia;PP;RS;2018
Ângela Portela;PDT;RR;2018
Antonio Anastasia;PSDB;MG;2018
Antônio Carlos Valadares;PSB;SE;2018
Armando Monteiro;PTB;PE;2018
Ataídes Oliveira;PSDB;TO;2018
Benedito de Lira;PP;AL;2018
Blairo Maggi;PR;MT;2018
Cássio Cunha Lima;PSDB;PB;2018
Cidinho Santos;PR;MT;2018
Ciro Nogueira;PP;PI;2018
Cristovam Buarque;CIDADANIA;DF;2018
Dalirio Beber;PSDB;SC;2018
Dário Berger;MDB;SC;2018
Davi Alcolumbre;DEM;AP;2018
Deca;PSDB;PB;2018
Delcídio do Amaral;S/Partido;MS;2018
Demóstenes Torres;S/Partido;GO;2018
Donizeti Nogueira;PT;TO;2018
Douglas Cintra;PTB;PE;2018
Edison Lobão;MDB;MA;2018
Eduardo Amorim;PSDB;SE;2018
Eduardo Braga;MDB;AM;2018
Eduardo Lopes;PRB;RJ;2018
Elber Batalha;PSB;SE;2018
Elmano Férrer;PODE;PI;2018
Eunício Oliveira;MDB;CE;2018
Fátima Bezerra;PT;RN;2018
Fernando Bezerra Coelho;MDB;PE;2018
Fernando Collor;PTC;AL;2018
Fernando Ribeiro;MDB;PA;2018
Flexa Ribeiro;PSDB;PA;2018
Garibaldi Alves Filho;MDB;RN;2018
Gilberto Piselo;PDT;RO;2018
Gilvam Borges;MDB;AP;2018
Givago Tenório;PP;AL;2018
Gladson Cameli;PP;AC;2018
Gleisi Hoffmann;PT;PR;2018
Guaracy Silveira;PSL;TO;2018
Hélio José;PROS;DF;2018
Humberto Costa;PT;PE;2018
Ione Guimarães;PTB;GO;2018
Itamar Franco;CIDADANIA;MG;2018
Ivo Cassol;PP;RO;2018
Jader Barbalho;MDB;PA;2018
Jean Paul Prates;PT;RN;2018
João Alberto Souza;MDB;MA;2018
João Capiberibe;PSB;AP;2018
João Ribeiro;PR;TO;2018
Jorge Viana;PT;AC;2018
José Agripino;DEM;RN;2018
José Amauri;PODE;PI;2018
José Aníbal;PSDB;SP;2018
José Maranhão;MDB;PB;2018
José Medeiros;PODE;MT;2018
José Pimentel;PT;CE;2018
José Serra;PSDB;SP;2018
Kátia Abreu;PDT;TO;2018
Lasier Martins;PSD;RS;2018
Lídice da Mata;PSB;BA;2018
Lindbergh Farias;PT;RJ;2018
Lúcia Vânia;PSB;GO;2018
Luiz do Carmo;MDB;GO;2018
Luiz Henrique;MDB;SC;2018
Magno Malta;PR;ES;2018
Mailza Gomes;PP;AC;2018
Marcelo Crivella;PRB;RJ;2018
Maria do Carmo Alves;DEM;SE;2018
Marinor Brito;PSOL;PA;2018
Marta Suplicy;MDB;SP;2018
Omar Aziz;PSD;AM;2018
Otto Alencar;PSD;BA;2018
Pastor Bel;PRTB;MA;2018
Pastor Valadares;PDT;RO;2018
Paulo Bauer;PSDB;SC;2018
Paulo Paim;PT;RS;2018
Paulo Rocha;PT;PA;2018
Pedro Chaves;PRB;MS;2018
Pedro Taques;PDT;MT;2018
Pinto Itamaraty;PSDB;MA;2018
Raimundo Lira;PSD;PB;2018
Randolfe Rodrigues;REDE;AP;2018
Reditario Cassol;PP;RO;2018
Regina Sousa;PT;PI;2018
Reguffe;S/Partido;DF;2018
Renan Calheiros;MDB;AL;2018
Ricardo Ferraço;PSDB;ES;2018
Ricardo Franco;DEM;SE;2018
Roberto Muniz;PP;BA;2018
Roberto Requião;MDB;PR;2018
Roberto Rocha;PSDB;MA;2018
Rodrigo Rollemberg;PSB;DF;2018
Rodrigues Palma;PR;MT;2018
Romário;PODE;RJ;2018
Romero Jucá;MDB;RR;2018
Ronaldo Caiado;DEM;GO;2018
Rose de Freitas;PODE;ES;2018
Rudson Leite;PV;RR;2018
Sandra Braga;MDB;AM;2018
Sérgio de Castro;PDT;ES;2018
Sérgio Petecão;PSD;AC;2018
Simone Tebet;MDB;MS;2018
Tasso Jereissati;PSDB;CE;2018
Telmário Mota;PTB;RR;2018
Thieres Pinto;PTB;RR;2018
Valdir Raupp;MDB;RO;2018
Vanessa Grazziotin;PCdoB;AM;2018
Vicentinho Alves;PR;TO;2018
Virginio de Carvalho;PSC;SE;2018
Vital do Rêgo;MDB;PB;2018
Waldemir Moka;MDB;MS;2018
Walter Pinheiro;S/Partido;BA;2018
Wellington Dias;PT;PI;2018
Wellington Fagundes;PR;MT;2018
Wilder Morais;DEM;GO;2018
Wilson Santiago;MDB;PB;2018
Wirlande da Luz;MDB;RR;2018
Zé Santana;MDB;PI;2018
Zezé Perrella;MDB;MG;2018
